OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Civilian non-institutionalized population, 2022","# Civilian non-institutionalized population, 2022 (MOE)","# Civilian non-institutionalized population with health insurance, 2022","# Civilian non-institutionalized population with health insurance, 2022 (MOE)","% Civilian non-institutionalized population with health insurance, 2022","% Civilian non-institutionalized population with health insurance, 2022 (MOE)","# Civilian non-institutionalized population with private health insurance, 2022","# Civilian non-institutionalized population with private health insurance, 2022 (MOE)","% Civilian non-institutionalized population with private health insurance, 2022","% Civilian non-institutionalized population with private health insurance, 2022 (MOE)","# Civilian non-institutionalized population with public health insurance, 2022","# Civilian non-institutionalized population with public health insurance, 2022 (MOE)","% Civilian non-institutionalized population with public health insurance, 2022","% Civilian non-institutionalized population with public health insurance, 2022 (MOE)","# Civilian non-institutionalized population, no health insurance, 2022","# Civilian non-institutionalized population, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population, no health insurance, 2022","% Civilian non-institutionalized population, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, 2022","# Civilian non-institutionalized population under 19 years, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, no health insurance, 2022","# Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population under 19 years, no health insurance, 2022","% Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years employed, 2022","# Civilian population 19 to 64 years employed, 2022 (MOE)","# Civilian population 19 to 64 years employed, no health insurance, 2022","# Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years employed, no health insurance, 2022","% Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, 2022","# Civilian population 19 to 64 years unemployed, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, no health insurance, 2022","# Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years unemployed, no health insurance, 2022","% Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, 2022","# Civilian population 19 to 64 years not in labor force, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population ages 19 and over, 2022","# Civilian non-institutionalized population ages 19 and over, 2022 (MOE)","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","# Civilian noninstitutionalized population with employer-provided health insurance, 2022","# Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","% Civilian noninstitutionalized population with employer-provided health insurance, 2022","% Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","# Civilian population 19 to 64 years with employer-provided health insurance, 2022","# Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","% Civilian population 19 to 64 years with employer-provided health insurance, 2022","% Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 6, 2022","# Civilian noninstitutionalized population under age 6, 2022 (MOE)","# Civilian noninstitutionalized under age 6 without health insurance, 2022","# Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 6 without health insurance, 2022","% Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 65, 2022","# Civilian noninstitutionalized population under age 65, 2022 (MOE)","# Civilian noninstitutionalized under age 65 without health insurance, 2022","# Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 65 without health insurance, 2022","% Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)",Shape__Area,Shape__Length
335,1373784,Atlanta Regional Commission,Yes,864,City,2021,Stonecrest city,59215,72,50837,2196,85.9,3.7,35617,2327,60.1,3.9,20553,1965,34.7,3.3,8378,1297,14.1,2.2,14483,1226,982,522,6.8,3.6,28124,1443,4294,862,15.3,3,2571,701,1028,361,40,8.8,7779,1048,1628,574,20.9,6.8,44732,1402,7396,1187,16.5,2.6,30032,1972,50.7,3.3,21602,1474,56.1,3.4,4432,847,346,334,7.8,7.4,52957,2689,7932,1121,15,2,142401093.4,78825.67255
338,1374936,Atlanta Regional Commission,Yes,872,City,2021,Suwanee city,21214,59,19884,940,93.7,4.4,18223,940,85.9,4.4,3191,563,15,2.7,1330,389,6.3,1.8,5547,553,179,130,3.2,2.3,11308,690,734,287,6.5,2.5,636,329,28,43,4.4,6.4,2003,381,389,211,19.4,9.9,15667,665,1151,366,7.3,2.3,15953,1063,75.2,5,10885,748,78,4.3,1236,337,37,48,3,3.8,19494,1367,1330,334,6.8,1.6,41815837.54,58680.30442
357,1378044,Atlanta Regional Commission,Yes,902,City,2021,Tyrone town,7710,34,7256,498,94.1,6.4,6329,483,82.1,6.3,1657,306,21.5,4,454,245,5.9,3.2,1922,272,25,43,1.3,2.2,3560,325,303,225,8.5,6.3,78,64,26,44,33.3,49.3,916,217,100,94,10.9,9.9,5788,363,429,241,7.4,4.1,5809,535,75.3,6.9,3804,344,83.5,5.7,559,182,0,28,0,5.1,6476,610,454,203,7,3.1,48075796.81,58020.96962
360,1378324,Atlanta Regional Commission,Yes,905,City,2021,Union City city,26582,144,22582,1922,85,7.2,14657,1612,55.1,6.1,10127,1565,38.1,5.9,4000,974,15,3.7,7388,833,559,405,7.6,5.4,12755,1248,2318,764,18.2,5.7,571,322,264,267,46.2,38.8,3057,709,850,313,27.8,8,19194,1080,3441,886,17.9,4.5,12492,1454,47,5.5,9240,1299,56.4,7.3,2103,542,190,182,9,8.4,23771,2037,3991,876,16.8,3.4,74225176.6,183816.1545
388,1384176,Atlanta Regional Commission,Yes,942,City,2021,Woodstock city,34932,74,31646,1402,90.6,4,28147,1385,80.6,4,6507,816,18.6,2.3,3286,744,9.4,2.1,9005,706,386,266,4.3,2.9,18730,859,2512,660,13.4,3.5,570,283,243,159,42.6,18.2,2518,494,144,71,5.7,2.6,25927,911,2900,694,11.2,2.6,22949,1222,65.7,3.5,15949,971,73.1,3.8,2769,509,20,45,0.7,1.6,30823,1602,3285,675,10.7,2.1,49345172.49,129051.4186
412,1311056,Atlanta Regional Commission,Yes,481,City,2021,Brooks town,719,190,671,145,93.3,31.8,629,137,87.5,29.9,163,67,22.7,7.2,48,38,6.7,5,202,90,9,17,4.5,8,247,71,26,22,10.5,8.4,4,5,0,14,0,350,119,46,13,13,10.9,10.1,517,126,39,34,7.5,6.4,555,111,77.2,25.6,306,73,82.7,30.6,62,37,5,15,8.1,24.1,572,107,48,41,8.4,7,16159803.69,18664.75756
413,1384288,Atlanta Regional Commission,Yes,944,City,2021,Woolsey town,229,89,227,73,99.1,50,203,70,88.6,45.9,43,25,18.8,8.3,2,32,0.9,13.8,66,49,0,20,0,30,93,43,0,14,0,15.1,2,3,0,14,0,700,36,22,2,4,5.6,10.6,163,58,2,25,1.2,15.1,191,55,83.4,40.2,113,38,86.3,46.5,19,16,0,20,0,104.2,197,53,2,51,1,25.7,3131317.469,8043.53263
428,1315172,Atlanta Regional Commission,Yes,508,City,2021,Chamblee city,29810,63,22551,1237,75.6,4.1,17107,1053,57.4,3.5,6692,823,22.4,2.8,7259,710,24.4,2.4,7138,797,856,377,12,5.1,16999,935,5227,666,30.7,3.5,316,187,153,105,48.4,16.8,2819,486,1023,263,36.3,6.9,22672,975,6403,602,28.2,2.4,14173,956,47.5,3.2,10944,751,54.4,2.9,2472,413,151,152,6.1,6.1,27272,1503,7259,750,26.6,2.3,29013762.41,30839.86964
429,1316544,Atlanta Regional Commission,Yes,515,City,2021,Clarkston city,14542,29,11837,909,81.4,6.3,6393,796,44,5.5,6246,805,43,5.5,2705,505,18.6,3.5,5282,486,294,240,5.6,4.5,6088,615,1474,465,24.2,7.2,609,252,407,218,66.8,22.7,1969,355,522,242,26.5,11.3,9260,657,2411,444,26,4.4,4939,725,34,5,3721,621,42.9,6.6,2144,463,96,80,4.5,3.6,13948,1085,2697,507,19.3,3.3,6991957.684,19131.80924
430,1323536,Atlanta Regional Commission,Yes,567,City,2021,Doraville city,10691,44,7388,868,69.1,8.1,4368,655,40.9,6.1,3398,635,31.8,5.9,3303,571,30.9,5.3,3085,486,518,225,16.8,6.8,4921,457,2087,434,42.4,7.9,105,59,33,30,31.4,22.5,1299,285,572,221,44,14,7606,613,2785,525,36.6,6.2,3265,502,30.5,4.7,2595,444,41,6.3,872,242,47,55,5.4,6.1,9410,853,3210,531,34.1,4.7,18850633.51,35050.16536
440,1317776,Atlanta Regional Commission,Yes,525,City,2021,College Park city,14087,565,11659,998,82.8,6.3,6921,841,49.1,5.6,5720,809,40.6,5.5,2428,502,17.2,3.5,3995,673,273,165,6.8,4,6519,581,1627,432,25,6.2,962,399,187,125,19.4,10.2,1491,388,332,213,22.3,13.1,10092,666,2155,474,21.4,4.5,5585,694,39.6,4.7,4353,637,48.5,6.3,1075,324,134,146,12.5,13,12967,1154,2419,500,18.7,3.5,41997062.6,62575.83846
441,1342604,Atlanta Regional Commission,Yes,673,City,2021,Jonesboro city,3270,62,2732,380,83.5,11.5,1201,228,36.7,6.9,1768,351,54.1,10.7,538,174,16.5,5.3,969,229,54,63,5.6,6.3,1087,193,243,111,22.4,9.4,79,57,12,21,15.2,24.2,652,174,229,101,35.1,12.3,2301,282,484,163,21,6.6,776,185,23.7,5.6,605,171,33.3,8.6,342,158,22,40,6.4,11.5,2787,369,538,170,19.3,5.5,11248292.79,26023.49095
442,1347616,Atlanta Regional Commission,Yes,701,City,2021,Lovejoy city,9822,186,8747,1020,89.1,10.3,5246,921,53.4,9.3,4082,1001,41.6,10.2,1075,371,10.9,3.8,4637,688,235,214,5.1,4.6,3678,651,620,264,16.9,6.5,212,164,13,24,6.1,10.3,850,373,207,121,24.4,9.4,5185,720,840,303,16.2,5.4,4673,762,47.6,7.7,2929,491,61.8,4.9,1119,385,26,35,2.3,3,9377,1063,1075,356,11.5,3.6,10939009.75,38754.89511
450,1323900,Atlanta Regional Commission,Yes,569,City,2021,Douglasville city,34245,124,30964,1554,90.4,4.5,23321,1540,68.1,4.5,10809,1173,31.6,3.4,3281,763,9.6,2.2,9433,770,484,374,5.1,3.9,16361,903,1688,580,10.3,3.5,886,309,237,166,26.7,16.2,3381,577,866,265,25.6,6.5,24812,1105,2797,665,11.3,2.6,20704,1361,60.5,4,13792,1008,66.9,4,2850,550,111,143,3.9,5,30061,1575,3275,634,10.9,2,86605159.1,234824.2878
452,1324768,Atlanta Regional Commission,Yes,573,City,2021,Dunwoody city,51320,88,47157,1736,91.9,3.4,42130,1674,82.1,3.3,10246,972,20,1.9,4163,729,8.1,1.4,13373,827,525,299,3.9,2.2,25130,865,2645,512,10.5,2,373,147,103,63,27.6,12.9,4948,734,799,293,16.1,5.4,37947,1159,3638,665,9.6,1.7,35879,1378,69.9,2.7,23406,1076,76.9,2.6,4153,543,22,25,0.5,0.6,43824,1750,4072,720,9.3,1.6,49972731.06,32805.63062
463,1336276,Atlanta Regional Commission,Yes,635,City,2021,Hampton city,8213,54,7280,1050,88.6,12.8,5111,1005,62.2,12.2,2620,875,31.9,10.7,933,472,11.4,5.8,2594,789,3,34,0.1,1.3,3362,618,391,277,11.6,8,131,114,49,47,37.4,15.1,1524,388,430,329,28.2,20.4,5619,784,930,471,16.6,8.1,4802,958,58.5,11.7,3289,573,65.6,5.8,581,282,0,28,0,4.9,7611,1138,873,435,11.5,5.5,31665190.88,49114.66354
474,1342425,Atlanta Regional Commission,Yes,672,City,2021,Johns Creek city,81994,116,77802,2061,94.9,2.5,69934,2049,85.3,2.5,14240,1558,17.4,1.9,4192,872,5.1,1.1,23210,1057,976,361,4.2,1.5,37594,1182,1606,399,4.3,1.1,1419,363,275,133,19.4,8,9996,909,1186,552,11.9,5.4,58784,1396,3216,794,5.5,1.3,57900,1869,70.6,2.3,37437,1237,76.4,2,4345,605,200,133,4.6,3,72219,2112,4043,769,5.6,1.1,118507303.5,76243.32642
478,1345488,Atlanta Regional Commission,Yes,686,City,2021,Lawrenceville city,30209,76,24914,1353,82.5,4.5,16846,1243,55.8,4.1,10081,1026,33.4,3.4,5295,675,17.5,2.2,8229,749,1049,333,12.7,3.9,13777,887,2900,503,21,3.4,916,344,545,282,59.5,21.2,3831,616,738,328,19.3,8,21980,861,4246,586,19.3,2.6,13734,1091,45.5,3.6,10141,832,54.7,4,2638,592,371,261,14.1,9.4,26753,1529,5232,745,19.6,2.5,52459208.99,95459.86106
479,1355776,Atlanta Regional Commission,Yes,760,City,2021,Norcross city,17483,49,13528,948,77.4,5.4,9676,914,55.3,5.2,4564,680,26.1,3.9,3955,567,22.6,3.2,4865,465,550,207,11.3,4.1,9349,615,2499,443,26.7,4.4,146,84,90,76,61.6,38.1,1547,392,755,172,48.8,16.6,12618,544,3405,528,27,4,7272,771,41.6,4.4,5606,603,50.8,5,1337,315,91,76,6.8,5.4,15907,1090,3894,512,24.5,2.7,23253593.94,34892.96556
480,1374180,Atlanta Regional Commission,Yes,866,City,2021,Sugar Hill city,24938,44,21779,1156,87.3,4.6,18473,1176,74.1,4.7,4924,850,19.7,3.4,3159,643,12.7,2.6,7623,695,496,235,6.5,3,11936,854,1773,506,14.9,4.1,343,172,194,142,56.6,30.2,2966,417,605,197,20.4,6,17315,856,2663,598,15.4,3.4,15661,1026,62.8,4.1,10348,789,67.9,3.9,2016,465,32,54,1.6,2.7,22868,1328,3068,552,13.4,2.3,42363475.97,141412.4659
492,1351670,Atlanta Regional Commission,Yes,733,City,2021,Milton city,40942,66,38644,1596,94.4,3.9,35525,1555,86.8,3.8,6117,847,14.9,2.1,2298,599,5.6,1.5,11847,1009,322,191,2.7,1.6,19852,1005,1529,481,7.7,2.4,610,353,30,43,4.9,6.4,4721,605,310,210,6.6,4.4,29095,1011,1976,568,6.8,1.9,31351,1608,76.6,3.9,20628,1169,81.9,3.9,3150,596,102,151,3.2,4.8,37030,1990,2191,480,5.9,1.3,148210934.2,94801.52108
501,1361040,Atlanta Regional Commission,Yes,789,City,2021,Pine Lake city,888,259,831,208,93.6,36,629,188,70.8,4.7,277,107,31.2,7.9,57,45,6.4,4.7,173,116,0,20,0,11.4,458,160,33,24,7.2,4.6,14,19,8,18,57.1,102.5,103,71,7,11,6.8,9.6,715,187,57,40,8,5.2,547,146,61.6,24.3,431,130,75,32.1,52,55,0,20,0,38.1,748,187,48,53,6.4,6.8,955416.7578,6744.585305
513,1367284,Atlanta Regional Commission,Yes,829,City,2021,Roswell city,92362,79,82518,2734,89.3,3,69978,2564,75.8,2.8,21998,1975,23.8,2.1,9844,1537,10.7,1.7,23692,1322,1380,421,5.8,1.7,44597,1419,6111,1028,13.7,2.3,1818,446,295,175,16.2,8.8,8501,829,1796,615,21.1,6.9,68670,1606,8464,1479,12.3,2.1,58147,1954,63,2.1,37376,1487,68.1,2.3,5748,717,240,147,4.2,2.5,78608,2491,9582,1108,12.2,1.4,158805037,116078.2818
525,1373816,Atlanta Regional Commission,Yes,865,City,2021,Stone Mountain city,6619,41,5496,611,83,9.2,3677,578,55.6,8.7,2465,476,37.2,7.2,1123,256,17,3.9,1603,325,114,121,7.1,7.4,3098,391,607,198,19.6,5.9,193,136,25,31,13,13.2,931,240,370,169,39.7,15,5016,388,1009,226,20.1,4.2,2908,511,43.9,7.7,2146,446,50.8,9.8,650,260,31,51,4.8,7.6,5825,791,1116,343,19.2,5.3,6224284.07,23040.29573
535,1377652,Atlanta Regional Commission,Yes,897,City,2021,Tucker city,36549,57,31400,1499,85.9,4.1,23683,1275,64.8,3.5,11556,1224,31.6,3.3,5149,793,14.1,2.2,7450,743,691,280,9.3,3.6,17006,762,2858,580,16.8,3.3,1082,302,315,197,29.1,16.3,4247,652,1285,402,30.3,8.2,29099,1088,4458,742,15.3,2.5,19892,1243,54.4,3.4,13778,958,61.7,3.7,2814,496,32,47,1.1,1.7,29785,1444,5149,698,17.3,2.2,76589696.38,59667.68599
537,1379948,Atlanta Regional Commission,Yes,917,City,2021,Waleska city,764,132,727,145,95.2,9.5,661,137,86.5,9.9,112,60,14.7,7.5,37,41,4.8,5.2,92,58,3,15,3.3,16,302,114,30,31,9.9,9.6,39,42,4,7,10.3,14.1,264,86,0,14,0,5.3,672,90,34,38,5.1,5.6,519,104,67.9,6.8,457,96,75.5,12.5,12,13,1,15,8.3,121,697,127,37,42,5.3,5.9,6039378.285,18798.61477
